reading_id,plant_id,timestamp,so2_ppm,nox_ppm,pm_ug_m3,co_ppm,voc_ppm,effluent_ph,effluent_cod_mgL,effluent_bod_mgL,effluent_tss_mgL,process_temp_c,process_pressure_bar,process_flow_m3h,operational_status,is_anomaly,data_quality_flag
1,PL01,2026-08-19T00:00:00,50.93,40.76,66.91,14.13,10.29,7.23,70.1,19.9,45.4,70.8,2.0,252.7,Startup,False,Normal
2,PL01,2026-08-19T02:00:00,46.19,33.39,64.19,14.8,12.6,7.19,81.9,29.4,53.7,80.5,1.89,288.5,Running,False,Normal
3,PL01,2026-08-19T04:00:00,57.07,42.49,65.71,13.34,11.83,6.89,83.9,27.1,47.2,81.4,1.95,332.4,Running,False,Normal
4,PL01,2026-08-19T06:00:00,58.41,44.84,73.59,15.3,13.37,6.5,84.0,24.0,60.2,86.3,2.24,303.1,Running,False,Normal
5,PL01,2026-08-19T08:00:00,76.95,47.61,92.65,19.99,15.41,6.58,110.6,34.8,67.5,104.0,2.9,366.7,Running,True,Normal
6,PL01,2026-08-19T10:00:00,74.48,45.3,96.8,20.98,15.42,6.58,107.6,35.3,68.2,107.4,2.78,449.7,Running,True,Normal
81,PL01,2026-08-19T10:00:00,74.48,45.3,96.8,20.98,15.42,6.58,107.6,35.3,68.2,107.4,2.78,449.7,Running,True,Sensor Error
7,PL01,2026-08-19T12:00:00,86.91,62.34,98.39,18.18,16.25,7.15,107.1,30.0,76.6,117.4,3.14,453.5,Running,True,Normal
8,PL01,2026-08-19T14:00:00,87.52,62.57,107.69,20.19,17.98,7.2,111.6,39.8,84.3,124.7,3.05,447.7,Running,True,Normal
9,PL01,2026-08-19T16:00:00,70.97,71.55,108.65,21.54,18.36,7.3,113.9,38.6,85.1,130.4,3.13,431.6,Running,True,Normal
10,PL01,2026-08-19T18:00:00,90.77,62.15,98.62,23.23,22.34,6.75,135.8,45.5,85.9,127.9,3.34,472.1,Running,True,Normal
11,PL02,2026-08-19T00:00:00,18.03,13.4,35.94,6.85,24.98,7.04,65.1,18.6,38.3,70.2,1.79,255.8,Startup,False,Normal
12,PL02,2026-08-19T02:00:00,17.89,11.55,39.2,7.16,21.14,7.06,67.9,22.6,44.2,73.3,1.98,252.6,Running,False,Normal
13,PL02,2026-08-19T04:00:00,20.87,14.64,42.43,7.18,24.12,7.36,69.5,20.5,46.3,77.7,1.71,298.1,Running,False,Normal
14,PL02,2026-08-19T06:00:00,16.42,12.01,40.59,6.99,21.81,6.8,68.7,21.9,48.6,72.9,1.63,236.5,Running,False,Normal
15,PL02,2026-08-19T08:00:00,22.92,15.86,48.67,7.93,28.94,6.55,90.6,26.7,52.0,86.8,2.38,310.7,Running,False,Normal
16,PL02,2026-08-19T10:00:00,16.72,15.65,44.52,8.09,21.45,6.97,74.7,21.3,56.6,80.9,2.22,310.8,Running,False,Normal
17,PL02,2026-08-19T12:00:00,22.38,16.11,42.77,7.9,25.18,7.44,78.6,23.7,45.4,82.8,2.02,332.4,Running,False,Normal
18,PL02,2026-08-19T14:00:00,18.72,14.09,49.18,8.56,24.21,6.99,78.9,22.5,46.9,79.6,2.01,307.6,Running,False,Normal
19,PL02,2026-08-19T16:00:00,23.53,15.49,48.6,8.29,29.4,6.92,98.3,29.6,63.8,93.6,2.13,327.8,Running,False,Normal
20,PL02,2026-08-19T18:00:00,19.83,13.53,44.57,8.42,26.93,6.94,87.0,30.1,45.7,83.4,1.96,348.4,Running,False,Normal
21,PL03,2026-08-19T00:00:00,53.33,45.34,89.18,22.63,5.4,6.85,66.8,20.7,46.7,73.1,1.67,268.5,Startup,True,Normal
22,PL03,2026-08-19T02:00:00,59.2,52.86,75.8,23.23,5.57,6.76,78.6,27.5,55.4,79.6,2.11,275.8,Running,False,Normal
23,PL03,2026-08-19T04:00:00,61.85,53.19,82.6,22.92,6.85,6.76,80.3,26.8,54.7,79.6,1.9,318.7,Running,True,Normal
24,PL03,2026-08-19T06:00:00,69.53,59.88,95.63,27.43,5.84,7.44,92.1,27.4,56.2,84.9,2.05,293.9,Running,True,Normal
25,PL03,2026-08-19T08:00:00,74.14,77.58,103.99,24.81,7.79,7.01,113.4,34.1,67.5,110.5,2.39,402.9,Running,True,Normal
26,PL03,2026-08-19T10:00:00,83.74,69.01,120.96,30.0,8.56,6.83,100.1,31.5,69.3,113.5,2.86,449.5,Running,True,Normal
27,PL03,2026-08-19T12:00:00,88.06,84.85,142.13,29.63,7.84,6.63,106.3,37.4,72.0,116.8,2.77,447.9,Running,True,Normal
28,PL03,2026-08-19T14:00:00,93.0,90.83,114.22,35.71,9.35,7.27,117.4,40.7,70.4,116.2,3.16,458.3,Running,True,Normal
29,PL03,2026-08-19T16:00:00,82.37,88.69,112.79,33.68,10.45,6.79,128.4,38.9,81.6,125.9,2.86,508.7,Running,True,Normal
30,PL03,2026-08-19T18:00:00,91.14,100.18,138.46,36.01,10.69,6.87,136.1,43.1,90.1,130.1,3.37,473.1,Running,True,Normal
31,PL04,2026-08-19T00:00:00,18.36,16.35,35.08,4.95,27.99,7.54,78.2,24.8,47.8,78.4,1.74,261.5,Startup,False,Normal
32,PL04,2026-08-19T02:00:00,14.99,17.37,31.27,4.88,28.52,6.43,72.8,25.7,45.4,71.4,1.98,274.3,Running,False,Normal
33,PL04,2026-08-19T04:00:00,16.23,21.0,30.43,5.57,24.45,7.18,72.5,22.2,53.5,73.4,1.78,280.5,Running,False,Normal
34,PL04,2026-08-19T06:00:00,14.48,17.77,29.16,5.17,26.73,6.76,74.9,26.6,38.0,73.8,1.8,265.3,Running,False,Normal
35,PL04,2026-08-19T08:00:00,15.92,22.52,37.4,5.58,30.08,6.46,91.0,29.0,49.1,84.2,2.06,326.8,Running,False,Normal
36,PL04,2026-08-19T10:00:00,21.12,18.16,41.12,6.34,34.97,6.76,91.6,26.3,54.3,92.0,2.08,316.8,Running,False,Normal
37,PL04,2026-08-19T12:00:00,17.05,23.63,35.01,7.42,26.93,7.26,85.4,29.0,46.5,89.8,2.03,294.4,Running,False,Normal
38,PL04,2026-08-19T14:00:00,18.77,19.92,36.5,5.35,29.73,7.34,75.3,26.8,50.5,79.6,1.99,312.6,Running,False,Normal
39,PL04,2026-08-19T16:00:00,19.41,20.38,35.95,7.04,35.11,6.81,95.9,29.7,62.8,86.0,2.26,354.5,Running,False,Normal
40,PL04,2026-08-19T18:00:00,18.46,23.79,39.15,5.54,31.32,6.95,89.0,29.6,48.1,89.7,2.0,326.4,Running,False,Normal
41,PL05,2026-08-19T00:00:00,52.84,33.94,64.71,14.03,9.55,6.96,74.1,26.2,49.0,72.1,1.93,276.5,Startup,False,Normal
